Iteration: 93, total timesteps: 37800, total time: 308.7, FPS: 122.5, mean reward: -8.0, min/max reward: -30.9/59.3
Iteration: 94, total timesteps: 38200, total time: 312.3, FPS: 122.3, mean reward: -7.5, min/max reward: -30.9/59.3
Iteration: 95, total timesteps: 38600, total time: 316.4, FPS: 122.0, mean reward: -6.9, min/max reward: -30.9/59.3
Iteration: 96, total timesteps: 39000, total time: 320.6, FPS: 121.7, mean reward: -7.4, min/max reward: -30.9/59.3
Iteration: 97, total timesteps: 39400, total time: 324.6, FPS: 121.4, mean reward: -7.7, min/max reward: -30.9/59.3
Iteration: 98, total timesteps: 39800, total time: 327.0, FPS: 121.7, mean reward: -7.7, min/max reward: -30.9/59.3
Iteration: 99, total timesteps: 40200, total time: 331.0, FPS: 121.4, mean reward: -7.0, min/max reward: -30.9/59.3
Iteration: 100, total timesteps: 40600, total time: 335.0, FPS: 121.2, mean reward: -6.5, min/max reward: -30.9/59.3
Iteration: 101, total timesteps: 41000, total time: 338.1, FPS: 121.3, mean reward: -6.6, min/max reward: -36.0/59.3
Iteration: 102, total timesteps: 41400, total time: 341.3, FPS: 121.3, mean reward: -6.7, min/max reward: -36.0/59.3
Iteration: 103, total timesteps: 41800, total time: 344.5, FPS: 121.3, mean reward: -6.6, min/max reward: -36.0/59.3
Iteration: 104, total timesteps: 42200, total time: 346.4, FPS: 121.8, mean reward: -6.6, min/max reward: -36.0/59.3
Iteration: 105, total timesteps: 42600, total time: 349.8, FPS: 121.8, mean reward: -6.9, min/max reward: -36.0/59.3
Iteration: 106, total timesteps: 43000, total time: 353.2, FPS: 121.7, mean reward: -8.2, min/max reward: -36.0/59.3
Iteration: 107, total timesteps: 43400, total time: 356.7, FPS: 121.7, mean reward: -6.8, min/max reward: -36.0/59.3
Iteration: 108, total timesteps: 43800, total time: 360.6, FPS: 121.5, mean reward: -5.5, min/max reward: -36.0/53.6
Iteration: 109, total timesteps: 44200, total time: 364.6, FPS: 121.2, mean reward: -5.1, min/max reward: -36.0/53.6
Iteration: 110, total timesteps: 44600, total time: 366.9, FPS: 121.5, mean reward: -5.1, min/max reward: -36.0/53.6
Iteration: 111, total timesteps: 45000, total time: 370.8, FPS: 121.4, mean reward: -5.3, min/max reward: -36.0/53.6
Iteration: 112, total timesteps: 45400, total time: 374.7, FPS: 121.1, mean reward: -3.4, min/max reward: -36.0/53.6
Iteration: 113, total timesteps: 45800, total time: 378.6, FPS: 121.0, mean reward: -2.4, min/max reward: -36.0/53.6
Iteration: 114, total timesteps: 46200, total time: 382.5, FPS: 120.8, mean reward: -2.1, min/max reward: -36.0/58.3
Iteration: 115, total timesteps: 46600, total time: 386.2, FPS: 120.7, mean reward: -2.1, min/max reward: -36.0/58.3
Iteration: 116, total timesteps: 47000, total time: 387.9, FPS: 121.2, mean reward: -2.1, min/max reward: -36.0/58.3
Iteration: 117, total timesteps: 47400, total time: 391.0, FPS: 121.2, mean reward: -0.8, min/max reward: -34.1/58.3
Iteration: 118, total timesteps: 47800, total time: 394.2, FPS: 121.2, mean reward: -0.4, min/max reward: -34.1/58.3
Iteration: 119, total timesteps: 48200, total time: 397.5, FPS: 121.3, mean reward: -0.5, min/max reward: -34.1/58.3
Iteration: 120, total timesteps: 48600, total time: 400.8, FPS: 121.3, mean reward: 0.8, min/max reward: -34.1/58.3
Iteration: 121, total timesteps: 49000, total time: 404.2, FPS: 121.2, mean reward: 0.5, min/max reward: -34.1/58.3
Iteration: 122, total timesteps: 49400, total time: 406.2, FPS: 121.6, mean reward: 0.5, min/max reward: -34.1/58.3
Iteration: 123, total timesteps: 49800, total time: 410.3, FPS: 121.4, mean reward: 0.3, min/max reward: -34.1/58.3
Iteration: 124, total timesteps: 50200, total time: 414.6, FPS: 121.1, mean reward: -0.4, min/max reward: -34.1/58.3
Iteration: 125, total timesteps: 50600, total time: 418.7, FPS: 120.8, mean reward: 0.7, min/max reward: -34.1/58.3
Iteration: 126, total timesteps: 51000, total time: 422.9, FPS: 120.6, mean reward: 0.3, min/max reward: -34.1/58.3
Iteration: 127, total timesteps: 51400, total time: 426.1, FPS: 120.6, mean reward: -0.3, min/max reward: -34.1/58.3
Iteration: 128, total timesteps: 51800, total time: 427.9, FPS: 121.1, mean reward: -0.3, min/max reward: -34.1/58.3
Iteration: 129, total timesteps: 52200, total time: 431.1, FPS: 121.1, mean reward: -1.3, min/max reward: -34.1/56.9
Iteration: 130, total timesteps: 52600, total time: 434.4, FPS: 121.1, mean reward: -0.2, min/max reward: -34.1/56.9
Iteration: 131, total timesteps: 53000, total time: 437.7, FPS: 121.1, mean reward: -1.1, min/max reward: -27.1/56.9
Iteration: 132, total timesteps: 53400, total time: 441.2, FPS: 121.0, mean reward: -1.6, min/max reward: -27.1/56.9
Iteration: 133, total timesteps: 53800, total time: 444.6, FPS: 121.0, mean reward: -2.3, min/max reward: -27.1/56.9
Iteration: 134, total timesteps: 54200, total time: 446.9, FPS: 121.3, mean reward: -2.3, min/max reward: -27.1/56.9
Iteration: 135, total timesteps: 54600, total time: 451.2, FPS: 121.0, mean reward: -1.9, min/max reward: -28.1/56.9
Iteration: 136, total timesteps: 55000, total time: 455.4, FPS: 120.8, mean reward: -1.8, min/max reward: -28.1/56.9
Iteration: 137, total timesteps: 55400, total time: 459.6, FPS: 120.5, mean reward: -2.1, min/max reward: -32.7/56.9
Iteration: 138, total timesteps: 55800, total time: 462.9, FPS: 120.5, mean reward: -2.7, min/max reward: -32.7/55.9
Iteration: 139, total timesteps: 56200, total time: 466.1, FPS: 120.6, mean reward: -3.9, min/max reward: -32.7/55.9
Iteration: 140, total timesteps: 56600, total time: 467.9, FPS: 121.0, mean reward: -3.9, min/max reward: -32.7/55.9
Iteration: 141, total timesteps: 57000, total time: 471.2, FPS: 121.0, mean reward: -4.3, min/max reward: -32.7/55.9
Iteration: 142, total timesteps: 57400, total time: 474.6, FPS: 121.0, mean reward: -4.1, min/max reward: -33.7/55.9
Iteration: 143, total timesteps: 57800, total time: 477.8, FPS: 121.0, mean reward: -5.2, min/max reward: -33.7/55.9
Iteration: 144, total timesteps: 58200, total time: 481.2, FPS: 120.9, mean reward: -4.9, min/max reward: -33.7/55.9
Iteration: 145, total timesteps: 58600, total time: 485.2, FPS: 120.8, mean reward: -4.9, min/max reward: -33.7/55.9
Iteration: 146, total timesteps: 59000, total time: 487.7, FPS: 121.0, mean reward: -4.9, min/max reward: -33.7/55.9
Iteration: 147, total timesteps: 59400, total time: 492.0, FPS: 120.7, mean reward: -3.6, min/max reward: -33.7/55.9
Iteration: 148, total timesteps: 59800, total time: 496.1, FPS: 120.5, mean reward: -3.3, min/max reward: -33.7/55.3
